Lp.;Wytwórca;Model;Na indywidualne zamówienie;Kod;Nazwa;Kod środka;Nazwa środka;Cena
383;SZAJNA;CR 1,74;NIE;1945;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;500,00
384;RAKO;CR/60;NIE;1868;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;39,00
385;SZAJNA;CR/70;NIE;1936;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;49,00
386;SZAJNA;CR 1,5 ASF;NIE;1939;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;110,00
387;SZAJNA;PROFIT IN 1,5;NIE;1636;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;25,00
388;UNIVERCE OPTICAL;IN.1,5 WG;NIE;1631;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;25,00
389;SZAJNA;CR/55;NIE;1935;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;39,00
390;SZAJNA;OPTIPLAST IN 1,56;NIE;1640;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;129,00
391;TARGET;CR/60;NIE;1900;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;45,00
392;RAKO;CR 1,7;NIE;1877;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;190,00
393;SZAJNA;NIE DOTYCZY;NIE;1465;SZKŁO OKULAROWE;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;120,00
394;TARGET;CR SV;NIE;2273;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;235,00
395;SZAJNA;OPTIPLAST IN 1,5;NIE;1639;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;79,00
396;TARGET;CR;NIE;1899;SOCZEWKA OKULAROWA;O.01.02.01.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;25,00
397;JZO;IZOPLAST 160;NIE;2197;SOCZEWKA OKULAROWA;O.01.02.01.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;239,00
398;RAKO;CR 1,67 A;NIE;2000;SOCZEWKA OKULAROWA;O.01.02.01.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;220,00
399;SZAJNA;NIE DOTYCZY;NIE;1527;SZKŁO OKULAROWE;O.01.02.01.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;290,00
400;JZO;IZOKORN 1,7;NIE;2200;SOCZEWKA OKULAROWA;O.01.02.01.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;150,00
401;RAKO;CR 1,74;NIE;2002;SOCZEWKA OKULAROWA;O.01.02.01.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;350,00
402;JZO;IZOPLAST 150 VTR;NIE;2195;SOCZEWKA OKULAROWA;O.01.02.01.D2   ;SFERA DO 6,00 DPTR I CYLINDER OD 2,25 DPTR - DO DALI DZIECI                                                                                                                                                                                               ;50,00
